"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970-2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Census Bureau, 1970, 1980, 1990, 2000 Censuses of Population, and the 2012-16 American Community Survey 5-yr average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For defintions of rural classifications, see USDA, Economic Research Service - http://www.ers.usda.gov/topics/rural-economy-population/rural-classifications.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table was prepared by USDA, Economic Research Service. Contact: Tim Parker, tparker@ers.usda.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016",
06051,CA,Mono County,7,9,7,11,723,866,489,245,31.1,37.3,21.1,10.5,586,"1,890","1,377","1,132",11.8,37.9,27.6,22.7,804,"1,695","2,641","1,443",12.2,25.7,40.1,21.9,"1,046","1,792","3,327","2,509",12.1,20.7,38.4,28.9,"1,486","1,671","3,284","2,846",16.0,18.0,35.4,30.6,
06053,CA,Monterey County,2,2,2,2,"44,960","36,925","19,933","17,983",37.5,30.8,16.6,15.0,"46,862","47,232","35,670","31,642",29.0,29.3,22.1,19.6,"57,520","44,916","63,897","45,671",27.1,21.2,30.1,21.5,"77,061","45,354","66,774","54,939",31.6,18.6,27.4,22.5,"78,716","55,086","72,724","63,970",29.1,20.4,26.9,23.6,
06055,CA,Napa County,3,2,3,2,"16,951","15,855","8,193","5,254",36.6,34.3,17.7,11.4,"15,542","21,539","14,834","11,210",24.6,34.1,23.5,17.8,"14,495","18,399","25,538","16,773",19.3,24.5,34.0,22.3,"16,455","17,223","28,110","22,150",19.6,20.5,33.5,26.4,"15,651","18,273","31,184","32,135",16.1,18.8,32.1,33.0,
06057,CA,Nevada County,4,3,4,3,"6,445","5,719","2,764","1,612",39.0,34.6,16.7,9.7,"6,189","13,677","8,328","6,186",18.0,39.8,24.2,18.0,"7,577","14,891","20,534","12,231",13.7,27.0,37.2,22.1,"6,309","15,517","26,319","17,003",9.7,23.8,40.4,26.1,"4,956","14,568","29,233","25,570",6.7,19.6,39.3,34.4,
06059,CA,Orange County,1,1,1,1,"216,580","256,847","145,360","116,498",29.5,34.9,19.8,15.8,"221,997","360,814","292,019","255,992",19.6,31.9,25.8,22.6,"286,557","307,521","509,022","425,099",18.8,20.1,33.3,27.8,"372,419","317,332","564,962","558,743",20.5,17.5,31.2,30.8,"325,372","365,923","601,605","807,572",15.5,17.4,28.6,38.4,
06061,CA,Placer County,1,1,1,1,"16,171","16,075","7,161","4,362",36.9,36.7,16.4,10.0,"16,277","26,147","17,713","12,030",22.6,36.2,24.5,16.7,"17,006","29,751","41,725","25,940",14.9,26.0,36.5,22.7,"15,835","35,327","64,506","50,226",9.5,21.3,38.9,30.3,"14,879","49,288","97,742","94,689",5.8,19.2,38.1,36.9,
06063,CA,Plumas County,7,12,7,12,"2,783","2,602","1,034",643,39.4,36.8,14.6,9.1,"2,366","4,436","2,581","1,593",21.6,40.4,23.5,14.5,"2,393","4,536","4,787","2,090",17.3,32.9,34.7,15.1,"1,770","4,102","6,325","2,589",12.0,27.7,42.8,17.5,"1,173","3,459","6,686","3,181",8.1,23.9,46.1,21.9,
06065,CA,Riverside County,1,1,1,1,"105,962","82,404","39,538","27,081",41.6,32.3,15.5,10.6,"125,066","139,431","86,458","51,303",31.1,34.7,21.5,12.8,"188,015","191,492","239,668","105,530",25.9,26.4,33.1,14.6,"234,473","230,867","315,008","155,676",25.0,24.7,33.7,16.6,"286,746","380,286","490,619","311,245",19.5,25.9,33.4,21.2,
06067,CA,Sacramento County,1,1,1,1,"113,388","118,989","56,138","43,457",34.2,35.8,16.9,13.1,"102,522","159,194","113,735","89,581",22.0,34.2,24.5,19.3,"117,470","158,422","233,955","151,880",17.8,23.9,35.4,23.0,"129,270","176,525","275,052","191,641",16.7,22.9,35.6,24.8,"129,386","219,244","343,431","286,583",13.2,22.4,35.1,29.3,
06069,CA,San Benito County,1,1,1,1,"5,333","2,372","1,156",671,55.9,24.9,12.1,7.0,"6,015","3,696","2,647","1,471",43.5,26.7,19.1,10.6,"6,915","5,524","6,314","3,152",31.6,25.2,28.8,14.4,"7,876","7,278","10,876","5,371",25.1,23.2,34.6,17.1,"7,957","9,032","12,723","6,949",21.7,24.6,34.7,19.0,
06071,CA,San Bernardino County,1,1,1,1,"154,036","117,009","51,751","32,785",43.3,32.9,14.6,9.2,"146,148","180,774","111,533","66,179",29.0,35.8,22.1,13.1,"202,956","222,977","275,833","123,062",24.6,27.0,33.4,14.9,"253,594","246,155","326,943","156,581",25.8,25.0,33.3,15.9,"274,381","339,210","430,266","249,922",21.2,26.2,33.3,19.3,
06073,CA,San Diego County,1,1,1,1,"239,165","240,208","113,732","96,174",34.7,34.8,16.5,14.0,"236,104","355,635","257,648","223,845",22.0,33.1,24.0,20.9,"281,660","354,882","527,450","394,090",18.1,22.8,33.9,25.3,"308,849","352,040","588,927","523,511",17.4,19.9,33.2,29.5,"293,959","406,630","672,249","788,922",13.6,18.8,31.1,36.5,
06075,CA,San Francisco County,1,1,1,1,"175,382","134,770","72,024","76,655",38.2,29.4,15.7,16.7,"124,793","120,456","98,829","135,263",26.0,25.1,20.6,28.2,"117,834","97,583","132,763","187,835",22.0,18.2,24.8,35.0,"112,065","82,618","133,130","267,992",18.8,13.9,22.3,45.0,"84,024","83,389","135,018","366,564",12.6,12.5,20.2,54.8,
06077,CA,San Joaquin County,2,2,2,2,"79,981","45,996","19,622","12,612",50.6,29.1,12.4,8.0,"75,394","64,952","38,215","23,256",37.4,32.2,18.9,11.5,"90,830","74,007","86,517","38,179",31.4,25.6,29.9,13.2,"95,953","84,162","104,989","48,468",28.8,25.2,31.5,14.5,"97,333","117,820","146,662","80,297",22.0,26.6,33.2,18.2,
06079,CA,San Luis Obispo County,3,2,2,2,"23,256","18,246","9,888","6,437",40.2,31.6,17.1,11.1,"21,459","30,880","22,631","17,561",23.2,33.4,24.5,19.0,"23,156","34,099","49,848","31,883",16.7,24.5,35.9,22.9,"22,964","34,728","58,997","42,507",14.4,21.8,37.1,26.7,"18,206","35,704","67,649","62,786",9.9,19.4,36.7,34.1,
06081,CA,San Mateo County,1,1,1,1,"90,291","112,366","59,725","54,276",28.5,35.5,18.9,17.1,"69,840","119,239","93,507","96,491",18.4,31.5,24.7,25.5,"71,343","95,754","141,125","140,631",15.9,21.3,31.4,31.3,"72,164","85,569","141,275","191,277",14.7,17.5,28.8,39.0,"60,898","85,392","137,251","251,961",11.4,15.9,25.6,47.1,
06083,CA,Santa Barbara County,2,2,2,2,"39,195","46,726","26,139","24,419",28.7,34.2,19.2,17.9,"36,823","53,305","42,896","43,428",20.9,30.2,24.3,24.6,"46,156","48,821","74,745","61,625",20.0,21.1,32.3,26.6,"51,220","46,941","75,972","72,596",20.8,19.0,30.8,29.4,"53,932","48,376","80,914","87,141",19.9,17.9,29.9,32.2,
06085,CA,Santa Clara County,1,1,1,1,"168,911","172,084","97,306","106,037",31.0,31.6,17.9,19.5,"154,450","217,564","182,887","198,702",20.5,28.9,24.3,26.4,"175,123","183,546","298,572","317,542",18.0,18.8,30.6,32.6,"184,800","176,926","300,793","450,539",16.6,15.9,27.0,40.5,"166,105","189,751","298,047","630,862",12.9,14.8,23.2,49.1,
06087,CA,Santa Cruz County,2,2,2,2,"26,802","23,113","13,082","9,603",36.9,31.8,18.0,13.2,"25,943","33,368","30,076","27,419",22.2,28.6,25.7,23.5,"26,825","28,183","48,978","43,978",18.1,19.0,33.1,29.7,"27,684","27,327","53,588","56,400",16.8,16.6,32.5,34.2,"23,995","27,143","55,863","68,386",13.7,15.5,31.9,39.0,
06089,CA,Shasta County,3,2,3,2,"17,506","14,513","6,867","3,665",41.1,34.1,16.1,8.6,"16,968","27,844","16,125","8,630",24.4,40.0,23.2,12.4,"20,504","27,971","33,374","12,995",21.6,29.5,35.2,13.7,"17,952","29,658","41,854","17,808",16.7,27.6,39.0,16.6,"12,539","31,880","55,655","25,161",10.0,25.5,44.4,20.1,
06091,CA,Sierra County,8,7,8,7,626,541,195,141,41.7,36.0,13.0,9.4,449,751,482,368,21.9,36.6,23.5,18.0,618,702,801,400,24.5,27.8,31.8,15.9,375,730,999,436,14.8,28.7,39.3,17.2,261,632,"1,017",471,11.0,26.5,42.7,19.8,
06093,CA,Siskiyou County,7,11,6,6,"8,418","7,038","2,450","1,461",43.5,36.3,12.7,7.5,"6,056","9,690","5,579","3,491",24.4,39.0,22.5,14.1,"6,565","9,156","9,161","4,109",22.6,31.6,31.6,14.2,"4,978","8,648","11,611","5,445",16.2,28.2,37.8,17.7,"3,627","8,070","12,999","7,029",11.4,25.4,41.0,22.2,
06095,CA,Solano County,2,2,2,2,"31,409","33,040","12,007","7,797",37.3,39.2,14.3,9.3,"30,457","51,166","31,930","18,001",23.2,38.9,24.3,13.7,"36,159","56,046","77,483","39,125",17.3,26.8,37.1,18.7,"40,028","60,367","93,378","52,715",16.2,24.5,37.9,21.4,"36,163","68,047","112,386","72,669",12.5,23.5,38.9,25.1,
06097,CA,Sonoma County,2,2,2,2,"41,844","40,497","19,904","12,765",36.4,35.2,17.3,11.1,"42,193","64,975","44,609","36,235",22.4,34.6,23.7,19.3,"40,368","62,057","92,834","63,446",15.6,24.0,35.9,24.5,"46,237","62,559","110,275","87,493",15.1,20.4,36.0,28.5,"44,790","68,113","121,772","115,942",12.8,19.4,34.7,33.1,
06099,CA,Stanislaus County,2,2,2,2,"52,093","30,844","13,461","8,623",49.6,29.4,12.8,8.2,"58,009","48,192","28,492","17,954",38.0,31.6,18.7,11.8,"70,044","58,124","64,822","28,712",31.6,26.2,29.2,13.0,"78,427","68,945","80,027","37,179",29.6,26.1,30.2,14.1,"74,176","93,254","109,181","54,738",22.4,28.1,33.0,16.5,
06101,CA,Sutter County,3,2,3,2,"9,490","6,923","3,434","2,386",42.7,31.1,15.4,10.7,"9,751","9,851","6,239","4,351",32.3,32.6,20.7,14.4,"11,044","9,935","12,745","6,130",27.7,24.9,32.0,15.4,"13,260","11,569","16,740","7,502",27.0,23.6,34.1,15.3,"12,742","14,950","22,609","10,968",20.8,24.4,36.9,17.9,
06103,CA,Tehama County,4,5,4,5,"7,328","6,037","2,002","1,219",44.2,36.4,12.1,7.3,"7,338","10,088","4,436","2,180",30.5,42.0,18.5,9.1,"9,053","10,288","9,862","3,324",27.8,31.6,30.3,10.2,"8,826","11,167","12,175","4,093",24.3,30.8,33.6,11.3,"7,319","13,316","16,275","5,912",17.1,31.1,38.0,13.8,
06105,CA,Trinity County,8,6,8,6,"1,930","1,435",669,425,43.3,32.2,15.0,9.5,"1,929","2,898","1,699","1,028",25.5,38.4,22.5,13.6,"2,296","2,763","2,691","1,143",25.8,31.1,30.3,12.9,"1,790","2,791","3,388","1,464",19.0,29.6,35.9,15.5,951,"3,305","3,887","2,044",9.3,32.4,38.2,20.1,
06107,CA,Tulare County,2,2,2,2,"54,916","24,610","11,814","7,074",55.8,25.0,12.0,7.2,"59,651","38,667","22,902","13,639",44.2,28.7,17.0,10.1,"70,714","40,873","45,103","20,965",39.8,23.0,25.4,11.8,"78,512","47,004","55,812","23,560",38.3,22.9,27.2,11.5,"83,735","66,719","75,832","36,813",31.8,25.4,28.8,14.0,
06109,CA,Tuolumne County,4,5,4,5,"5,624","4,940","2,010","1,087",41.2,36.2,14.7,8.0,"4,965","8,504","5,383","2,981",22.7,39.0,24.7,13.7,"6,811","11,082","11,129","5,011",20.0,32.6,32.7,14.7,"6,129","11,579","14,985","6,284",15.7,29.7,38.4,16.1,"4,154","11,648","16,858","8,034",10.2,28.6,41.4,19.7,
06111,CA,Ventura County,2,2,2,2,"68,362","65,439","31,734","23,283",36.2,34.7,16.8,12.3,"71,508","99,531","72,274","53,980",24.1,33.5,24.3,18.2,"85,778","91,704","142,471","95,598",20.6,22.1,34.3,23.0,"93,872","92,936","157,812","127,136",19.9,19.7,33.5,26.9,"92,033","104,194","180,278","178,811",16.6,18.8,32.5,32.2,
06113,CA,Yolo County,1,1,1,1,"17,135","13,142","6,122","8,224",38.4,29.5,13.7,18.4,"16,314","17,837","10,693","16,611",26.5,29.0,17.4,27.0,"16,965","18,093","21,463","24,524",20.9,22.3,26.5,30.3,"19,299","18,901","24,647","32,576",20.2,19.8,25.8,34.1,"17,555","23,506","32,252","48,925",14.4,19.2,26.4,40.0,
06115,CA,Yuba County,3,2,3,2,"9,313","7,394","2,981","1,746",43.4,34.5,13.9,8.1,"9,801","9,296","5,453","2,523",36.2,34.3,20.1,9.3,"10,669","8,474","11,479","3,206",31.5,25.1,33.9,9.5,"9,924","9,589","12,068","3,637",28.2,27.2,34.3,10.3,"8,159","11,120","19,335","7,109",17.8,24.3,42.3,15.5,
